instance,|V|,|A|,|B|,T,Components,ComponentsSelection,Profits,Algorithm,%numVisitedBlocks,%numVisitedBlocksNodes,%repeatedArcs,%repeatedNodes,%tourTotalMinutes,%blocksTotalMinutes,%tourMinutes,%blocksMinutes
31,374,139502,35,120,multiple,random,random,BRKGA,85.71428571428571,11.74934725848564,0.26143790849673204,10.052219321148826,35.6925,64.21000000000001,35.72733415079703,64.27266584920298
32,349,121452,35,120,multiple,random,random,BRKGA,88.57142857142857,11.278195488721805,0.0,6.015037593984962,36.0575,63.565000000000005,36.19413285151447,63.80586714848554
33,340,115260,35,120,multiple,random,random,BRKGA,88.57142857142857,11.302211302211303,1.1070110701107012,7.493857493857494,37.30375,62.580000000000005,37.34716608056866,62.65283391943134
34,626,391250,35,120,multiple,random,random,BRKGA,85.71428571428571,17.821782178217823,0.6611570247933884,8.085808580858085,27.91125,72.02000000000001,27.93045218587779,72.06954781412222
35,279,77562,35,120,multiple,random,random,BRKGA,94.28571428571429,15.009746588693957,0.78125,6.822612085769981,26.948750000000004,68.675,28.182067739447575,71.81793226055242
36,397,157212,40,120,multiple,random,random,BRKGA,85.0,9.215017064846416,0.45558086560364464,11.49032992036405,42.017500000000005,56.739999999999995,42.546135736526345,57.45386426347366
37,510,259590,40,120,multiple,random,random,BRKGA,77.5,17.66848816029144,0.9124087591240876,14.754098360655737,28.218749999999996,71.675,28.248764312081583,71.75123568791841
38,488,237656,40,120,multiple,random,random,BRKGA,85.0,12.555555555555555,2.558398220244716,18.555555555555557,41.00875,58.495000000000005,41.213270856626,58.78672914337399
39,422,177662,40,120,multiple,random,random,BRKGA,85.0,17.73879142300195,0.1953125,17.54385964912281,24.346249999999998,75.315,24.429003248504305,75.57099675149568
40,439,192282,40,120,multiple,random,random,BRKGA,80.0,12.352168199737187,0.0,8.672798948751643,34.79,64.71,34.96482412060301,65.03517587939697
41,438,191406,45,120,multiple,random,random,BRKGA,80.0,16.091954022988507,0.7672634271099744,15.070242656449553,29.1075,70.55999999999999,29.20460531266461,70.79539468733539
42,385,147840,45,120,multiple,random,random,BRKGA,82.22222222222223,21.50735294117647,1.1049723756906078,9.742647058823529,27.075,72.53999999999999,27.179641620237913,72.82035837976207
43,380,144020,45,120,multiple,random,random,BRKGA,80.0,22.244897959183675,0.40899795501022496,5.3061224489795915,22.5375,77.035,22.63426146777474,77.36573853222525
44,505,254520,45,120,multiple,random,random,BRKGA,73.33333333333333,10.89238845144357,0.0,8.923884514435695,33.8025,65.99,33.87278603101436,66.12721396898564
45,533,283556,45,120,multiple,random,random,BRKGA,68.88888888888889,24.71655328798186,0.0,7.029478458049887,22.07125,77.88000000000001,22.08201498230387,77.91798501769613
46,764,582932,50,120,multiple,random,random,BRKGA,70.0,22.26277372262774,1.8270401948842874,16.180048661800488,29.896250000000002,69.355,30.121786879258448,69.87821312074155
47,452,203852,50,120,multiple,random,random,BRKGA,82.0,18.90459363957597,3.185840707964602,11.66077738515901,25.7425,73.115,26.040007080899276,73.95999291910073
48,777,602952,50,120,multiple,random,random,BRKGA,80.0,18.914956011730204,0.44052863436123346,11.730205278592376,29.442500000000003,69.41000000000001,29.784274550466606,70.2157254495334
49,416,172640,50,120,multiple,random,random,BRKGA,78.0,22.0,0.8347245409015025,4.833333333333333,26.7325,73.155,26.762607933925665,73.23739206607434
50,447,199362,50,120,multiple,random,random,BRKGA,74.0,22.26277372262774,2.1937842778793417,11.13138686131387,26.1175,73.78500000000001,26.14298941467931,73.8570105853207
51,724,523452,55,120,multiple,random,random,BRKGA,70.9090909090909,17.105263157894736,1.1532125205930808,17.763157894736842,28.316250000000004,71.58999999999999,28.342821395057868,71.65717860494213
52,528,278256,55,120,multiple,random,random,BRKGA,67.27272727272727,15.261958997722095,2.1664766248574687,10.70615034168565,36.14,63.4,36.307012256379345,63.69298774362065
53,640,408960,55,120,multiple,random,random,BRKGA,67.27272727272727,24.180967238689547,1.25,16.224648985959437,26.47625,72.99,26.618325311349327,73.38167468865066
54,466,216690,55,120,multiple,random,random,BRKGA,72.72727272727273,35.86744639376219,8.984375,29.82456140350877,24.0475,75.535,24.148319232796926,75.85168076720306
