instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
12,98,9506,15,120.0,SOL-STATS,70.0,34518.0,51.777,5868.0,35.208,15,298,856,221,189
13,120,14280,15,120.0,SOL-STATS,65.0,56605.0,84.9075,6100.0,36.60000000000001,15,442,1535,410,397
14,97,9312,15,120.0,SOL-STATS,66.0,37217.0,55.825500000000005,5831.0,34.986000000000004,15,403,930,198,222
15,140,19460,15,120.0,SOL-STATS,66.0,41568.0,62.352,6754.0,40.52400000000001,15,396,1047,281,215
16,151,22650,20,120.0,SOL-STATS,90.0,57706.0,86.559,6921.0,41.526,19,466,1412,314,415
17,150,22350,20,120.0,SOL-STATS,78.0,48536.0,72.804,7119.0,42.714000000000006,20,462,1283,328,329
18,133,17556,20,120.0,SOL-STATS,75.0,46377.0,69.56549999999999,7446.0,44.67600000000001,20,399,1050,255,236
19,133,17556,20,120.0,SOL-STATS,75.0,51770.0,77.655,7351.0,44.106,20,419,1309,344,335
1,37,1332,5,120.0,SOL-STATS,23.0,12002.0,18.003,2327.0,13.962,5,81,324,57,21
20,139,19182,20,120.0,SOL-STATS,81.0,50673.0,76.0095,7256.0,43.536,20,485,1364,301,254
21,217,46872,25,120.0,SOL-STATS,92.0,49440.0,74.16000000000001,8959.0,53.754000000000005,25,660,1445,372,329
22,190,35910,25,120.0,SOL-STATS,98.0,46128.0,69.19200000000001,8515.0,51.09,25,479,1190,357,252
23,189,35532,25,120.0,SOL-STATS,120.0,42349.0,63.5235,8685.0,52.11,25,482,1120,265,278
24,186,34410,25,120.0,SOL-STATS,119.0,47952.0,71.928,8794.0,52.764,25,544,1291,344,317
25,190,35910,25,120.0,SOL-STATS,87.0,50671.0,76.00649999999999,8763.0,52.578,25,546,1323,369,270
26,207,42642,30,120.0,SOL-STATS,126.0,47011.0,70.51650000000001,10773.0,64.638,30,571,1218,335,286
27,205,41820,30,120.0,SOL-STATS,132.0,47269.0,70.90350000000001,10486.0,62.916000000000004,30,621,1259,308,278
28,236,55460,30,120.0,SOL-STATS,125.0,47681.0,71.5215,10630.0,63.78000000000001,30,595,1284,350,250
29,218,47306,30,120.0,SOL-STATS,119.0,45109.0,67.6635,10861.0,65.166,29,641,1162,296,287
2,35,1190,5,120.0,SOL-STATS,15.0,9593.0,14.389499999999998,2066.0,12.396,5,67,236,36,19
30,207,42642,30,120.0,SOL-STATS,110.0,44527.0,66.79050000000001,10481.0,62.886,30,525,1155,316,233
31,250,62250,35,120.0,SOL-STATS,164.0,37995.0,56.99249999999999,12291.0,73.746,35,611,1036,290,172
32,240,57360,35,120.0,SOL-STATS,153.0,39925.0,59.8875,12681.0,76.086,34,587,994,256,196
33,243,58806,35,120.0,SOL-STATS,129.0,40778.0,61.16699999999999,12359.0,74.15399999999998,35,662,1119,308,261
34,242,58322,35,120.0,SOL-STATS,145.0,40753.0,61.12950000000001,12337.0,74.02199999999999,34,629,1081,264,211
35,262,68382,35,120.0,SOL-STATS,130.0,41215.0,61.822500000000005,12211.0,73.266,34,667,1147,305,265
36,272,73712,40,120.0,SOL-STATS,140.0,36493.0,54.73949999999999,14021.0,84.126,39,739,960,250,233
37,272,73712,40,120.0,SOL-STATS,152.0,35376.0,53.06399999999999,13870.0,83.22,39,659,964,261,200
38,272,73712,40,120.0,SOL-STATS,157.0,37013.0,55.51950000000001,13726.0,82.35599999999998,39,666,991,254,190
39,274,74802,40,120.0,SOL-STATS,159.0,35868.0,53.80200000000001,13657.0,81.942,39,658,937,256,186
3,36,1260,5,120.0,SOL-STATS,16.0,25266.0,37.899,2356.0,14.136,5,102,617,143,150
40,274,74802,40,120.0,SOL-STATS,153.0,36484.0,54.726,13773.0,82.638,39,744,1025,271,242
41,293,85556,45,120.0,SOL-STATS,187.0,30357.0,45.5355,15971.0,95.82600000000001,44,672,814,213,160
42,291,84390,45,120.0,SOL-STATS,175.0,30843.0,46.2645,15989.0,95.934,45,601,792,207,144
43,301,90300,45,120.0,SOL-STATS,162.0,31097.0,46.64550000000001,15981.0,95.88600000000001,44,658,829,238,168
44,301,90300,45,120.0,SOL-STATS,185.0,30903.0,46.354500000000016,16048.0,96.28800000000003,44,655,792,215,140
45,288,82656,45,120.0,SOL-STATS,180.0,33804.0,50.706,15129.0,90.77400000000002,42,661,876,235,174
46,324,104652,50,120.0,SOL-STATS,167.0,45989.0,68.9835,11683.0,70.098,37,607,1286,335,288
47,320,102080,50,120.0,SOL-STATS,193.0,31073.0,46.6095,16171.0,97.02600000000001,46,648,817,227,119
48,311,96410,50,120.0,SOL-STATS,186.0,36348.0,54.522000000000006,14863.0,89.17800000000001,44,733,973,263,202
49,315,98910,50,120.0,SOL-STATS,184.0,41144.0,61.71600000000001,13492.0,80.952,41,673,1097,286,278
4,47,2162,5,120.0,SOL-STATS,13.0,9010.0,13.515,2468.0,14.808,5,79,216,36,19
50,325,105300,50,120.0,SOL-STATS,184.0,32348.0,48.52200000000002,15767.0,94.602,45,692,884,235,168
51,339,114582,55,120.0,SOL-STATS,188.0,48159.0,72.2385,11445.0,68.67,39,534,1270,354,256
52,345,118680,55,120.0,SOL-STATS,197.0,39953.0,59.929500000000004,13882.0,83.29200000000002,42,621,1109,292,235
53,349,121452,55,120.0,SOL-STATS,157.0,52399.0,78.5985,10169.0,61.01400000000001,34,684,1563,406,383
54,332,109892,55,120.0,SOL-STATS,174.0,44653.0,66.97950000000002,12619.0,75.71400000000001,39,558,1179,328,264
55,357,127092,55,120.0,SOL-STATS,14.0,421.0,0.6315,1041.0,6.246,4,21,21,2,0
56,374,139502,60,120.0,SOL-STATS,19.0,404.0,0.6059999999999999,1041.0,6.246,4,20,20,2,0
57,346,119370,60,120.0,SOL-STATS,172.0,49568.0,74.35200000000002,11075.0,66.45,40,714,1384,320,332
58,346,119370,60,120.0,SOL-STATS,187.0,53786.0,80.679,10156.0,60.93600000000001,38,507,1385,387,305
59,346,119370,60,120.0,SOL-STATS,191.0,44067.0,66.1005,12060.0,72.36000000000003,38,605,1171,299,232
5,34,1122,5,120.0,SOL-STATS,10.0,9337.0,14.005500000000001,2198.0,13.188000000000002,5,73,248,57,26
60,347,120062,60,120.0,SOL-STATS,165.0,54465.0,81.69749999999999,9728.0,58.367999999999995,34,424,1431,373,332
61,374,139502,65,120.0,SOL-STATS,216.0,29586.0,44.37899999999999,16879.0,101.27400000000003,51,541,794,199,113
62,374,139502,65,120.0,SOL-STATS,177.0,59284.0,88.926,8434.0,50.604,35,657,1726,408,402
63,376,141000,65,120.0,SOL-STATS,195.0,49893.0,74.83949999999999,10645.0,63.87,35,516,1352,386,263
64,374,139502,65,120.0,SOL-STATS,168.0,48124.0,72.186,11349.0,68.09400000000002,39,569,1184,303,233
65,372,138012,65,120.0,SOL-STATS,21.0,230.0,0.34499999999999975,1041.0,6.246,4,16,16,1,0
66,387,149382,70,120.0,SOL-STATS,221.0,37884.0,56.82599999999999,14464.0,86.78400000000002,47,522,1041,254,230
