instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
58,346,119370,60,120,SOL-STATS,187,53786,80.679,10156,60.936,38,507,1385,387,305,single,sparse,random,IP
59,346,119370,60,120,SOL-STATS,191,44067,66.1005,12060,72.36,38,605,1171,299,232,single,sparse,random,IP
5,34,1122,5,120,SOL-STATS,10,9337,14.0055,2198,13.188,5,73,248,57,26,single,sparse,random,IP
60,347,120062,60,120,SOL-STATS,165,54465,81.6975,9728,58.368,34,424,1431,373,332,single,sparse,random,IP
61,374,139502,65,120,SOL-STATS,216,29586,44.379,16879,101.274,51,541,794,199,113,single,sparse,random,IP
62,374,139502,65,120,SOL-STATS,177,59284,88.926,8434,50.604,35,657,1726,408,402,single,sparse,random,IP
63,376,141000,65,120,SOL-STATS,195,49893,74.8395,10645,63.87,35,516,1352,386,263,single,sparse,random,IP
64,374,139502,65,120,SOL-STATS,168,48124,72.186,11349,68.094,39,569,1184,303,233,single,sparse,random,IP
65,372,138012,65,120,SOL-STATS,21,230,0.345,1041,6.246,4,16,16,1,0,single,sparse,random,IP
66,387,149382,70,120,SOL-STATS,221,37884,56.826,14464,86.784,47,522,1041,254,230,single,sparse,random,IP
67,393,154056,70,120,SOL-STATS,170,53927,80.8905,9986,59.916,38,583,1421,354,304,single,sparse,random,IP
68,387,149382,70,120,SOL-STATS,25,534,0.801,1299,7.794,4,10,10,2,0,single,sparse,random,IP
69,399,158802,70,120,SOL-STATS,16,853,1.2795,1429,8.574,5,19,19,2,0,single,sparse,random,IP
6,53,2756,10,120,SOL-STATS,39,20343,30.5145,4753,28.518,10,124,421,87,105,single,sparse,random,IP
70,384,147072,70,120,SOL-STATS,16,628,0.942,1429,8.574,5,22,22,4,0,single,sparse,random,IP
71,417,173472,75,120,SOL-STATS,191,54829,82.2435,9737,58.422,38,509,1499,428,354,single,sparse,random,IP
72,421,176820,75,120,SOL-STATS,20,778,1.167,2529,15.174,6,17,17,4,0,single,sparse,random,IP
73,420,175980,75,120,SOL-STATS,21,1057,1.5855,2539,15.234,6,16,16,2,0,single,sparse,random,IP
74,414,170982,75,120,SOL-STATS,34,1748,2.622,3458,20.748,8,51,51,9,3,single,sparse,random,IP
75,414,170982,75,120,SOL-STATS,21,445,0.6675,1652,9.912,4,20,20,2,0,single,sparse,random,IP
76,430,184470,80,120,SOL-STATS,14,1036,1.554,1652,9.912,4,48,48,14,7,single,sparse,random,IP
77,464,214832,80,120,SOL-STATS,179,58541,87.8115,8215,49.29,34,539,1546,379,332,single,sparse,random,IP
78,432,186192,80,120,SOL-STATS,12,509,0.763500000000001,1799,10.794,4,8,8,1,0,single,sparse,random,IP
79,434,187922,80,120,SOL-STATS,22,1628,2.442,2220,13.32,5,17,41,3,1,single,sparse,random,IP
7,73,5256,10,120,SOL-STATS,45,19166,28.749,4435,26.61,10,174,459,98,83,single,sparse,random,IP
